student_name,roll_number,email,phone,major,batch,year,status
Nandar Hlaing 2,2022-MIIT-ECE-018,nandarhlaing2.ece2022.018@gmail.com,09768000198,ECE,2022 Batch,3rd Year,Active
Min Thant 2,2022-MIIT-ECE-019,minthant2.ece2022.019@gmail.com,09768000199,ECE,2022 Batch,3rd Year,Active
May Zin Win 2,2022-MIIT-ECE-020,mayzinwin2.ece2022.020@gmail.com,09768000200,ECE,2022 Batch,3rd Year,Active
Aung Min Khant 3,2022-MIIT-ECE-021,aungminkhant3.ece2022.021@gmail.com,09768000201,ECE,2022 Batch,3rd Year,Active
Thiri Mon 3,2022-MIIT-ECE-022,thirimon3.ece2022.022@gmail.com,09768000202,ECE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 3,2022-MIIT-ECE-023,kyawzinoo3.ece2022.023@gmail.com,09768000203,ECE,2022 Batch,3rd Year,Active
Su Myat Noe 3,2022-MIIT-ECE-024,sumyatnoe3.ece2022.024@gmail.com,09768000204,ECE,2022 Batch,3rd Year,Active
Htet Aung 3,2022-MIIT-ECE-025,htetaung3.ece2022.025@gmail.com,09768000205,ECE,2022 Batch,3rd Year,Active
Yoon Myat Thu 3,2022-MIIT-ECE-026,yoonmyatthu3.ece2022.026@gmail.com,09768000206,ECE,2022 Batch,3rd Year,Active
Kaung Htet 3,2022-MIIT-ECE-027,kaunghtet3.ece2022.027@gmail.com,09768000207,ECE,2022 Batch,3rd Year,Active
Nandar Hlaing 3,2022-MIIT-ECE-028,nandarhlaing3.ece2022.028@gmail.com,09768000208,ECE,2022 Batch,3rd Year,Active
Min Thant 3,2022-MIIT-ECE-029,minthant3.ece2022.029@gmail.com,09768000209,ECE,2022 Batch,3rd Year,Active
May Zin Win 3,2022-MIIT-ECE-030,mayzinwin3.ece2022.030@gmail.com,09768000210,ECE,2022 Batch,3rd Year,Active
Aung Min Khant 4,2022-MIIT-ECE-031,aungminkhant4.ece2022.031@gmail.com,09768000211,ECE,2022 Batch,3rd Year,Active
Thiri Mon 4,2022-MIIT-ECE-032,thirimon4.ece2022.032@gmail.com,09768000212,ECE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 4,2022-MIIT-ECE-033,kyawzinoo4.ece2022.033@gmail.com,09768000213,ECE,2022 Batch,3rd Year,Active
Su Myat Noe 4,2022-MIIT-ECE-034,sumyatnoe4.ece2022.034@gmail.com,09768000214,ECE,2022 Batch,3rd Year,Active
Htet Aung 4,2022-MIIT-ECE-035,htetaung4.ece2022.035@gmail.com,09768000215,ECE,2022 Batch,3rd Year,Active
Yoon Myat Thu 4,2022-MIIT-ECE-036,yoonmyatthu4.ece2022.036@gmail.com,09768000216,ECE,2022 Batch,3rd Year,Active
Kaung Htet 4,2022-MIIT-ECE-037,kaunghtet4.ece2022.037@gmail.com,09768000217,ECE,2022 Batch,3rd Year,Active
Nandar Hlaing 4,2022-MIIT-ECE-038,nandarhlaing4.ece2022.038@gmail.com,09768000218,ECE,2022 Batch,3rd Year,Active
Min Thant 4,2022-MIIT-ECE-039,minthant4.ece2022.039@gmail.com,09768000219,ECE,2022 Batch,3rd Year,Active
May Zin Win 4,2022-MIIT-ECE-040,mayzinwin4.ece2022.040@gmail.com,09768000220,ECE,2022 Batch,3rd Year,Active
Aung Min Khant 5,2022-MIIT-ECE-041,aungminkhant5.ece2022.041@gmail.com,09768000221,ECE,2022 Batch,3rd Year,Active
Thiri Mon 5,2022-MIIT-ECE-042,thirimon5.ece2022.042@gmail.com,09768000222,ECE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 5,2022-MIIT-ECE-043,kyawzinoo5.ece2022.043@gmail.com,09768000223,ECE,2022 Batch,3rd Year,Active
Su Myat Noe 5,2022-MIIT-ECE-044,sumyatnoe5.ece2022.044@gmail.com,09768000224,ECE,2022 Batch,3rd Year,Active
Htet Aung 5,2022-MIIT-ECE-045,htetaung5.ece2022.045@gmail.com,09768000225,ECE,2022 Batch,3rd Year,Active
Yoon Myat Thu 5,2022-MIIT-ECE-046,yoonmyatthu5.ece2022.046@gmail.com,09768000226,ECE,2022 Batch,3rd Year,Active
Kaung Htet 5,2022-MIIT-ECE-047,kaunghtet5.ece2022.047@gmail.com,09768000227,ECE,2022 Batch,3rd Year,Active
Nandar Hlaing 5,2022-MIIT-ECE-048,nandarhlaing5.ece2022.048@gmail.com,09768000228,ECE,2022 Batch,3rd Year,Active
Min Thant 5,2022-MIIT-ECE-049,minthant5.ece2022.049@gmail.com,09768000229,ECE,2022 Batch,3rd Year,Active
May Zin Win 5,2022-MIIT-ECE-050,mayzinwin5.ece2022.050@gmail.com,09768000230,ECE,2022 Batch,3rd Year,Active
Aung Min Khant 6,2022-MIIT-ECE-051,aungminkhant6.ece2022.051@gmail.com,09768000231,ECE,2022 Batch,3rd Year,Active
Thiri Mon 6,2022-MIIT-ECE-052,thirimon6.ece2022.052@gmail.com,09768000232,ECE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 6,2022-MIIT-ECE-053,kyawzinoo6.ece2022.053@gmail.com,09768000233,ECE,2022 Batch,3rd Year,Active
Su Myat Noe 6,2022-MIIT-ECE-054,sumyatnoe6.ece2022.054@gmail.com,09768000234,ECE,2022 Batch,3rd Year,Active
Htet Aung 6,2022-MIIT-ECE-055,htetaung6.ece2022.055@gmail.com,09768000235,ECE,2022 Batch,3rd Year,Active
Yoon Myat Thu 6,2022-MIIT-ECE-056,yoonmyatthu6.ece2022.056@gmail.com,09768000236,ECE,2022 Batch,3rd Year,Active
Kaung Htet 6,2022-MIIT-ECE-057,kaunghtet6.ece2022.057@gmail.com,09768000237,ECE,2022 Batch,3rd Year,Active
Nandar Hlaing 6,2022-MIIT-ECE-058,nandarhlaing6.ece2022.058@gmail.com,09768000238,ECE,2022 Batch,3rd Year,Active
Min Thant 6,2022-MIIT-ECE-059,minthant6.ece2022.059@gmail.com,09768000239,ECE,2022 Batch,3rd Year,Active
May Zin Win 6,2022-MIIT-ECE-060,mayzinwin6.ece2022.060@gmail.com,09768000240,ECE,2022 Batch,3rd Year,Active
Aung Min Khant 1,2023-MIIT-CSE-001,aungminkhant1.cse2023.001@gmail.com,09768000241,CSE,2023 Batch,3rd Year,Active
Thiri Mon 1,2023-MIIT-CSE-002,thirimon1.cse2023.002@gmail.com,09768000242,CSE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 1,2023-MIIT-CSE-003,kyawzinoo1.cse2023.003@gmail.com,09768000243,CSE,2023 Batch,3rd Year,Active
Su Myat Noe 1,2023-MIIT-CSE-004,sumyatnoe1.cse2023.004@gmail.com,09768000244,CSE,2023 Batch,3rd Year,Active
Htet Aung 1,2023-MIIT-CSE-005,htetaung1.cse2023.005@gmail.com,09768000245,CSE,2023 Batch,3rd Year,Active
Yoon Myat Thu 1,2023-MIIT-CSE-006,yoonmyatthu1.cse2023.006@gmail.com,09768000246,CSE,2023 Batch,3rd Year,Active
Kaung Htet 1,2023-MIIT-CSE-007,kaunghtet1.cse2023.007@gmail.com,09768000247,CSE,2023 Batch,3rd Year,Active
Nandar Hlaing 1,2023-MIIT-CSE-008,nandarhlaing1.cse2023.008@gmail.com,09768000248,CSE,2023 Batch,3rd Year,Active
Min Thant 1,2023-MIIT-CSE-009,minthant1.cse2023.009@gmail.com,09768000249,CSE,2023 Batch,3rd Year,Active
May Zin Win 1,2023-MIIT-CSE-010,mayzinwin1.cse2023.010@gmail.com,09768000250,CSE,2023 Batch,3rd Year,Active
Aung Min Khant 2,2023-MIIT-CSE-011,aungminkhant2.cse2023.011@gmail.com,09768000251,CSE,2023 Batch,3rd Year,Active
Thiri Mon 2,2023-MIIT-CSE-012,thirimon2.cse2023.012@gmail.com,09768000252,CSE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 2,2023-MIIT-CSE-013,kyawzinoo2.cse2023.013@gmail.com,09768000253,CSE,2023 Batch,3rd Year,Active
Su Myat Noe 2,2023-MIIT-CSE-014,sumyatnoe2.cse2023.014@gmail.com,09768000254,CSE,2023 Batch,3rd Year,Active
Htet Aung 2,2023-MIIT-CSE-015,htetaung2.cse2023.015@gmail.com,09768000255,CSE,2023 Batch,3rd Year,Active
Yoon Myat Thu 2,2023-MIIT-CSE-016,yoonmyatthu2.cse2023.016@gmail.com,09768000256,CSE,2023 Batch,3rd Year,Active
Kaung Htet 2,2023-MIIT-CSE-017,kaunghtet2.cse2023.017@gmail.com,09768000257,CSE,2023 Batch,3rd Year,Active
Nandar Hlaing 2,2023-MIIT-CSE-018,nandarhlaing2.cse2023.018@gmail.com,09768000258,CSE,2023 Batch,3rd Year,Active
Min Thant 2,2023-MIIT-CSE-019,minthant2.cse2023.019@gmail.com,09768000259,CSE,2023 Batch,3rd Year,Active
May Zin Win 2,2023-MIIT-CSE-020,mayzinwin2.cse2023.020@gmail.com,09768000260,CSE,2023 Batch,3rd Year,Active
Aung Min Khant 3,2023-MIIT-CSE-021,aungminkhant3.cse2023.021@gmail.com,09768000261,CSE,2023 Batch,3rd Year,Active
Thiri Mon 3,2023-MIIT-CSE-022,thirimon3.cse2023.022@gmail.com,09768000262,CSE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 3,2023-MIIT-CSE-023,kyawzinoo3.cse2023.023@gmail.com,09768000263,CSE,2023 Batch,3rd Year,Active
Su Myat Noe 3,2023-MIIT-CSE-024,sumyatnoe3.cse2023.024@gmail.com,09768000264,CSE,2023 Batch,3rd Year,Active
Htet Aung 3,2023-MIIT-CSE-025,htetaung3.cse2023.025@gmail.com,09768000265,CSE,2023 Batch,3rd Year,Active
Yoon Myat Thu 3,2023-MIIT-CSE-026,yoonmyatthu3.cse2023.026@gmail.com,09768000266,CSE,2023 Batch,3rd Year,Active
Kaung Htet 3,2023-MIIT-CSE-027,kaunghtet3.cse2023.027@gmail.com,09768000267,CSE,2023 Batch,3rd Year,Active
Nandar Hlaing 3,2023-MIIT-CSE-028,nandarhlaing3.cse2023.028@gmail.com,09768000268,CSE,2023 Batch,3rd Year,Active
Min Thant 3,2023-MIIT-CSE-029,minthant3.cse2023.029@gmail.com,09768000269,CSE,2023 Batch,3rd Year,Active
May Zin Win 3,2023-MIIT-CSE-030,mayzinwin3.cse2023.030@gmail.com,09768000270,CSE,2023 Batch,3rd Year,Active
Aung Min Khant 4,2023-MIIT-CSE-031,aungminkhant4.cse2023.031@gmail.com,09768000271,CSE,2023 Batch,3rd Year,Active
Thiri Mon 4,2023-MIIT-CSE-032,thirimon4.cse2023.032@gmail.com,09768000272,CSE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 4,2023-MIIT-CSE-033,kyawzinoo4.cse2023.033@gmail.com,09768000273,CSE,2023 Batch,3rd Year,Active
Su Myat Noe 4,2023-MIIT-CSE-034,sumyatnoe4.cse2023.034@gmail.com,09768000274,CSE,2023 Batch,3rd Year,Active
Htet Aung 4,2023-MIIT-CSE-035,htetaung4.cse2023.035@gmail.com,09768000275,CSE,2023 Batch,3rd Year,Active
Yoon Myat Thu 4,2023-MIIT-CSE-036,yoonmyatthu4.cse2023.036@gmail.com,09768000276,CSE,2023 Batch,3rd Year,Active
Kaung Htet 4,2023-MIIT-CSE-037,kaunghtet4.cse2023.037@gmail.com,09768000277,CSE,2023 Batch,3rd Year,Active
Nandar Hlaing 4,2023-MIIT-CSE-038,nandarhlaing4.cse2023.038@gmail.com,09768000278,CSE,2023 Batch,3rd Year,Active
Min Thant 4,2023-MIIT-CSE-039,minthant4.cse2023.039@gmail.com,09768000279,CSE,2023 Batch,3rd Year,Active
May Zin Win 4,2023-MIIT-CSE-040,mayzinwin4.cse2023.040@gmail.com,09768000280,CSE,2023 Batch,3rd Year,Active
Aung Min Khant 5,2023-MIIT-CSE-041,aungminkhant5.cse2023.041@gmail.com,09768000281,CSE,2023 Batch,3rd Year,Active
Thiri Mon 5,2023-MIIT-CSE-042,thirimon5.cse2023.042@gmail.com,09768000282,CSE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 5,2023-MIIT-CSE-043,kyawzinoo5.cse2023.043@gmail.com,09768000283,CSE,2023 Batch,3rd Year,Active
Su Myat Noe 5,2023-MIIT-CSE-044,sumyatnoe5.cse2023.044@gmail.com,09768000284,CSE,2023 Batch,3rd Year,Active
Htet Aung 5,2023-MIIT-CSE-045,htetaung5.cse2023.045@gmail.com,09768000285,CSE,2023 Batch,3rd Year,Active
Yoon Myat Thu 5,2023-MIIT-CSE-046,yoonmyatthu5.cse2023.046@gmail.com,09768000286,CSE,2023 Batch,3rd Year,Active
Kaung Htet 5,2023-MIIT-CSE-047,kaunghtet5.cse2023.047@gmail.com,09768000287,CSE,2023 Batch,3rd Year,Active
Nandar Hlaing 5,2023-MIIT-CSE-048,nandarhlaing5.cse2023.048@gmail.com,09768000288,CSE,2023 Batch,3rd Year,Active
Min Thant 5,2023-MIIT-CSE-049,minthant5.cse2023.049@gmail.com,09768000289,CSE,2023 Batch,3rd Year,Active
May Zin Win 5,2023-MIIT-CSE-050,mayzinwin5.cse2023.050@gmail.com,09768000290,CSE,2023 Batch,3rd Year,Active
Aung Min Khant 6,2023-MIIT-CSE-051,aungminkhant6.cse2023.051@gmail.com,09768000291,CSE,2023 Batch,3rd Year,Active
Thiri Mon 6,2023-MIIT-CSE-052,thirimon6.cse2023.052@gmail.com,09768000292,CSE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 6,2023-MIIT-CSE-053,kyawzinoo6.cse2023.053@gmail.com,09768000293,CSE,2023 Batch,3rd Year,Active
Su Myat Noe 6,2023-MIIT-CSE-054,sumyatnoe6.cse2023.054@gmail.com,09768000294,CSE,2023 Batch,3rd Year,Active
Htet Aung 6,2023-MIIT-CSE-055,htetaung6.cse2023.055@gmail.com,09768000295,CSE,2023 Batch,3rd Year,Active
Yoon Myat Thu 6,2023-MIIT-CSE-056,yoonmyatthu6.cse2023.056@gmail.com,09768000296,CSE,2023 Batch,3rd Year,Active
Kaung Htet 6,2023-MIIT-CSE-057,kaunghtet6.cse2023.057@gmail.com,09768000297,CSE,2023 Batch,3rd Year,Active
Nandar Hlaing 6,2023-MIIT-CSE-058,nandarhlaing6.cse2023.058@gmail.com,09768000298,CSE,2023 Batch,3rd Year,Active
Min Thant 6,2023-MIIT-CSE-059,minthant6.cse2023.059@gmail.com,09768000299,CSE,2023 Batch,3rd Year,Active
May Zin Win 6,2023-MIIT-CSE-060,mayzinwin6.cse2023.060@gmail.com,09768000300,CSE,2023 Batch,3rd Year,Active
Aung Min Khant 1,2023-MIIT-ECE-001,aungminkhant1.ece2023.001@gmail.com,09768000301,ECE,2023 Batch,3rd Year,Active
Thiri Mon 1,2023-MIIT-ECE-002,thirimon1.ece2023.002@gmail.com,09768000302,ECE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 1,2023-MIIT-ECE-003,kyawzinoo1.ece2023.003@gmail.com,09768000303,ECE,2023 Batch,3rd Year,Active
Su Myat Noe 1,2023-MIIT-ECE-004,sumyatnoe1.ece2023.004@gmail.com,09768000304,ECE,2023 Batch,3rd Year,Active
Htet Aung 1,2023-MIIT-ECE-005,htetaung1.ece2023.005@gmail.com,09768000305,ECE,2023 Batch,3rd Year,Active
Yoon Myat Thu 1,2023-MIIT-ECE-006,yoonmyatthu1.ece2023.006@gmail.com,09768000306,ECE,2023 Batch,3rd Year,Active
Kaung Htet 1,2023-MIIT-ECE-007,kaunghtet1.ece2023.007@gmail.com,09768000307,ECE,2023 Batch,3rd Year,Active
Nandar Hlaing 1,2023-MIIT-ECE-008,nandarhlaing1.ece2023.008@gmail.com,09768000308,ECE,2023 Batch,3rd Year,Active
Min Thant 1,2023-MIIT-ECE-009,minthant1.ece2023.009@gmail.com,09768000309,ECE,2023 Batch,3rd Year,Active
May Zin Win 1,2023-MIIT-ECE-010,mayzinwin1.ece2023.010@gmail.com,09768000310,ECE,2023 Batch,3rd Year,Active
Aung Min Khant 2,2023-MIIT-ECE-011,aungminkhant2.ece2023.011@gmail.com,09768000311,ECE,2023 Batch,3rd Year,Active
Thiri Mon 2,2023-MIIT-ECE-012,thirimon2.ece2023.012@gmail.com,09768000312,ECE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 2,2023-MIIT-ECE-013,kyawzinoo2.ece2023.013@gmail.com,09768000313,ECE,2023 Batch,3rd Year,Active
Su Myat Noe 2,2023-MIIT-ECE-014,sumyatnoe2.ece2023.014@gmail.com,09768000314,ECE,2023 Batch,3rd Year,Active
Htet Aung 2,2023-MIIT-ECE-015,htetaung2.ece2023.015@gmail.com,09768000315,ECE,2023 Batch,3rd Year,Active
Yoon Myat Thu 2,2023-MIIT-ECE-016,yoonmyatthu2.ece2023.016@gmail.com,09768000316,ECE,2023 Batch,3rd Year,Active
Kaung Htet 2,2023-MIIT-ECE-017,kaunghtet2.ece2023.017@gmail.com,09768000317,ECE,2023 Batch,3rd Year,Active
Nandar Hlaing 2,2023-MIIT-ECE-018,nandarhlaing2.ece2023.018@gmail.com,09768000318,ECE,2023 Batch,3rd Year,Active
Min Thant 2,2023-MIIT-ECE-019,minthant2.ece2023.019@gmail.com,09768000319,ECE,2023 Batch,3rd Year,Active
May Zin Win 2,2023-MIIT-ECE-020,mayzinwin2.ece2023.020@gmail.com,09768000320,ECE,2023 Batch,3rd Year,Active
Aung Min Khant 3,2023-MIIT-ECE-021,aungminkhant3.ece2023.021@gmail.com,09768000321,ECE,2023 Batch,3rd Year,Active
Thiri Mon 3,2023-MIIT-ECE-022,thirimon3.ece2023.022@gmail.com,09768000322,ECE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 3,2023-MIIT-ECE-023,kyawzinoo3.ece2023.023@gmail.com,09768000323,ECE,2023 Batch,3rd Year,Active
Su Myat Noe 3,2023-MIIT-ECE-024,sumyatnoe3.ece2023.024@gmail.com,09768000324,ECE,2023 Batch,3rd Year,Active
Htet Aung 3,2023-MIIT-ECE-025,htetaung3.ece2023.025@gmail.com,09768000325,ECE,2023 Batch,3rd Year,Active
Yoon Myat Thu 3,2023-MIIT-ECE-026,yoonmyatthu3.ece2023.026@gmail.com,09768000326,ECE,2023 Batch,3rd Year,Active
Kaung Htet 3,2023-MIIT-ECE-027,kaunghtet3.ece2023.027@gmail.com,09768000327,ECE,2023 Batch,3rd Year,Active
Nandar Hlaing 3,2023-MIIT-ECE-028,nandarhlaing3.ece2023.028@gmail.com,09768000328,ECE,2023 Batch,3rd Year,Active
Min Thant 3,2023-MIIT-ECE-029,minthant3.ece2023.029@gmail.com,09768000329,ECE,2023 Batch,3rd Year,Active
May Zin Win 3,2023-MIIT-ECE-030,mayzinwin3.ece2023.030@gmail.com,09768000330,ECE,2023 Batch,3rd Year,Active
Aung Min Khant 4,2023-MIIT-ECE-031,aungminkhant4.ece2023.031@gmail.com,09768000331,ECE,2023 Batch,3rd Year,Active
Thiri Mon 4,2023-MIIT-ECE-032,thirimon4.ece2023.032@gmail.com,09768000332,ECE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 4,2023-MIIT-ECE-033,kyawzinoo4.ece2023.033@gmail.com,09768000333,ECE,2023 Batch,3rd Year,Active
Su Myat Noe 4,2023-MIIT-ECE-034,sumyatnoe4.ece2023.034@gmail.com,09768000334,ECE,2023 Batch,3rd Year,Active
Htet Aung 4,2023-MIIT-ECE-035,htetaung4.ece2023.035@gmail.com,09768000335,ECE,2023 Batch,3rd Year,Active
Yoon Myat Thu 4,2023-MIIT-ECE-036,yoonmyatthu4.ece2023.036@gmail.com,09768000336,ECE,2023 Batch,3rd Year,Active
Kaung Htet 4,2023-MIIT-ECE-037,kaunghtet4.ece2023.037@gmail.com,09768000337,ECE,2023 Batch,3rd Year,Active
Nandar Hlaing 4,2023-MIIT-ECE-038,nandarhlaing4.ece2023.038@gmail.com,09768000338,ECE,2023 Batch,3rd Year,Active
Min Thant 4,2023-MIIT-ECE-039,minthant4.ece2023.039@gmail.com,09768000339,ECE,2023 Batch,3rd Year,Active
May Zin Win 4,2023-MIIT-ECE-040,mayzinwin4.ece2023.040@gmail.com,09768000340,ECE,2023 Batch,3rd Year,Active
Aung Min Khant 5,2023-MIIT-ECE-041,aungminkhant5.ece2023.041@gmail.com,09768000341,ECE,2023 Batch,3rd Year,Active
Thiri Mon 5,2023-MIIT-ECE-042,thirimon5.ece2023.042@gmail.com,09768000342,ECE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 5,2023-MIIT-ECE-043,kyawzinoo5.ece2023.043@gmail.com,09768000343,ECE,2023 Batch,3rd Year,Active
Su Myat Noe 5,2023-MIIT-ECE-044,sumyatnoe5.ece2023.044@gmail.com,09768000344,ECE,2023 Batch,3rd Year,Active
Htet Aung 5,2023-MIIT-ECE-045,htetaung5.ece2023.045@gmail.com,09768000345,ECE,2023 Batch,3rd Year,Active
Yoon Myat Thu 5,2023-MIIT-ECE-046,yoonmyatthu5.ece2023.046@gmail.com,09768000346,ECE,2023 Batch,3rd Year,Active
Kaung Htet 5,2023-MIIT-ECE-047,kaunghtet5.ece2023.047@gmail.com,09768000347,ECE,2023 Batch,3rd Year,Active
Nandar Hlaing 5,2023-MIIT-ECE-048,nandarhlaing5.ece2023.048@gmail.com,09768000348,ECE,2023 Batch,3rd Year,Active
Min Thant 5,2023-MIIT-ECE-049,minthant5.ece2023.049@gmail.com,09768000349,ECE,2023 Batch,3rd Year,Active
May Zin Win 5,2023-MIIT-ECE-050,mayzinwin5.ece2023.050@gmail.com,09768000350,ECE,2023 Batch,3rd Year,Active
Aung Min Khant 6,2023-MIIT-ECE-051,aungminkhant6.ece2023.051@gmail.com,09768000351,ECE,2023 Batch,3rd Year,Active
Thiri Mon 6,2023-MIIT-ECE-052,thirimon6.ece2023.052@gmail.com,09768000352,ECE,2023 Batch,3rd Year,Active
Kyaw Zin Oo 6,2023-MIIT-ECE-053,kyawzinoo6.ece2023.053@gmail.com,09768000353,ECE,2023 Batch,3rd Year,Active
Su Myat Noe 6,2023-MIIT-ECE-054,sumyatnoe6.ece2023.054@gmail.com,09768000354,ECE,2023 Batch,3rd Year,Active
Htet Aung 6,2023-MIIT-ECE-055,htetaung6.ece2023.055@gmail.com,09768000355,ECE,2023 Batch,3rd Year,Active
Yoon Myat Thu 6,2023-MIIT-ECE-056,yoonmyatthu6.ece2023.056@gmail.com,09768000356,ECE,2023 Batch,3rd Year,Active
Kaung Htet 6,2023-MIIT-ECE-057,kaunghtet6.ece2023.057@gmail.com,09768000357,ECE,2023 Batch,3rd Year,Active
Nandar Hlaing 6,2023-MIIT-ECE-058,nandarhlaing6.ece2023.058@gmail.com,09768000358,ECE,2023 Batch,3rd Year,Active
Min Thant 6,2023-MIIT-ECE-059,minthant6.ece2023.059@gmail.com,09768000359,ECE,2023 Batch,3rd Year,Active
May Zin Win 6,2023-MIIT-ECE-060,mayzinwin6.ece2023.060@gmail.com,09768000360,ECE,2023 Batch,3rd Year,Active
Aung Min Khant 1,2024-MIIT-CSE-001,aungminkhant1.cse2024.001@gmail.com,09768000361,CSE,2024 Batch,3rd Year,Active
Thiri Mon 1,2024-MIIT-CSE-002,thirimon1.cse2024.002@gmail.com,09768000362,CSE,2024 Batch,3rd Year,Active
Kyaw Zin Oo 1,2024-MIIT-CSE-003,kyawzinoo1.cse2024.003@gmail.com,09768000363,CSE,2024 Batch,3rd Year,Active
Su Myat Noe 1,2024-MIIT-CSE-004,sumyatnoe1.cse2024.004@gmail.com,09768000364,CSE,2024 Batch,3rd Year,Active
Htet Aung 1,2024-MIIT-CSE-005,htetaung1.cse2024.005@gmail.com,09768000365,CSE,2024 Batch,3rd Year,Active
Yoon Myat Thu 1,2024-MIIT-CSE-006,yoonmyatthu1.cse2024.006@gmail.com,09768000366,CSE,2024 Batch,3rd Year,Active
Kaung Htet 1,2024-MIIT-CSE-007,kaunghtet1.cse2024.007@gmail.com,09768000367,CSE,2024 Batch,3rd Year,Active
Nandar Hlaing 1,2024-MIIT-CSE-008,nandarhlaing1.cse2024.008@gmail.com,09768000368,CSE,2024 Batch,3rd Year,Active
Min Thant 1,2024-MIIT-CSE-009,minthant1.cse2024.009@gmail.com,09768000369,CSE,2024 Batch,3rd Year,Active
May Zin Win 1,2024-MIIT-CSE-010,mayzinwin1.cse2024.010@gmail.com,09768000370,CSE,2024 Batch,3rd Year,Active
Aung Min Khant 2,2024-MIIT-CSE-011,aungminkhant2.cse2024.011@gmail.com,09768000371,CSE,2024 Batch,3rd Year,Active
Thiri Mon 2,2024-MIIT-CSE-012,thirimon2.cse2024.012@gmail.com,09768000372,CSE,2024 Batch,3rd Year,Active
Kyaw Zin Oo 2,2024-MIIT-CSE-013,kyawzinoo2.cse2024.013@gmail.com,09768000373,CSE,2024 Batch,3rd Year,Active
Su Myat Noe 2,2024-MIIT-CSE-014,sumyatnoe2.cse2024.014@gmail.com,09768000374,CSE,2024 Batch,3rd Year,Active
Htet Aung 2,2024-MIIT-CSE-015,htetaung2.cse2024.015@gmail.com,09768000375,CSE,2024 Batch,3rd Year,Active
Yoon Myat Thu 2,2024-MIIT-CSE-016,yoonmyatthu2.cse2024.016@gmail.com,09768000376,CSE,2024 Batch,3rd Year,Active
Kaung Htet 2,2024-MIIT-CSE-017,kaunghtet2.cse2024.017@gmail.com,09768000377,CSE,2024 Batch,3rd Year,Active
Nandar Hlaing 2,2024-MIIT-CSE-018,nandarhlaing2.cse2024.018@gmail.com,09768000378,CSE,2024 Batch,3rd Year,Active
Min Thant 2,2024-MIIT-CSE-019,minthant2.cse2024.019@gmail.com,09768000379,CSE,2024 Batch,3rd Year,Active
May Zin Win 2,2024-MIIT-CSE-020,mayzinwin2.cse2024.020@gmail.com,09768000380,CSE,2024 Batch,3rd Year,Active
Aung Min Khant 3,2024-MIIT-CSE-021,aungminkhant3.cse2024.021@gmail.com,09768000381,CSE,2024 Batch,3rd Year,Active
Thiri Mon 3,2024-MIIT-CSE-022,thirimon3.cse2024.022@gmail.com,09768000382,CSE,2024 Batch,3rd Year,Active
Kyaw Zin Oo 3,2024-MIIT-CSE-023,kyawzinoo3.cse2024.023@gmail.com,09768000383,CSE,2024 Batch,3rd Year,Active
Su Myat Noe 3,2024-MIIT-CSE-024,sumyatnoe3.cse2024.024@gmail.com,09768000384,CSE,2024 Batch,3rd Year,Active
Htet Aung 3,2024-MIIT-CSE-025,htetaung3.cse2024.025@gmail.com,09768000385,CSE,2024 Batch,3rd Year,Active
Yoon Myat Thu 3,2024-MIIT-CSE-026,yoonmyatthu3.cse2024.026@gmail.com,09768000386,CSE,2024 Batch,3rd Year,Active
Kaung Htet 3,2024-MIIT-CSE-027,kaunghtet3.cse2024.027@gmail.com,09768000387,CSE,2024 Batch,3rd Year,Active
Nandar Hlaing 3,2024-MIIT-CSE-028,nandarhlaing3.cse2024.028@gmail.com,09768000388,CSE,2024 Batch,3rd Year,Active
Min Thant 3,2024-MIIT-CSE-029,minthant3.cse2024.029@gmail.com,09768000389,CSE,2024 Batch,3rd Year,Active
May Zin Win 3,2024-MIIT-CSE-030,mayzinwin3.cse2024.030@gmail.com,09768000390,CSE,2024 Batch,3rd Year,Active
Aung Min Khant 4,2024-MIIT-CSE-031,aungminkhant4.cse2024.031@gmail.com,09768000391,CSE,2024 Batch,3rd Year,Active
Thiri Mon 4,2024-MIIT-CSE-032,thirimon4.cse2024.032@gmail.com,09768000392,CSE,2024 Batch,3rd Year,Active
Kyaw Zin Oo 4,2024-MIIT-CSE-033,kyawzinoo4.cse2024.033@gmail.com,09768000393,CSE,2024 Batch,3rd Year,Active
Su Myat Noe 4,2024-MIIT-CSE-034,sumyatnoe4.cse2024.034@gmail.com,09768000394,CSE,2024 Batch,3rd Year,Active
Htet Aung 4,2024-MIIT-CSE-035,htetaung4.cse2024.035@gmail.com,09768000395,CSE,2024 Batch,3rd Year,Active
